Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Dawn;Natterjack toad;Goblins;Envied?;Love?;Agree, and ask whether they'd like a free sample of a jinx?;The drum;White;Ravenclaw
Forest;The power to speak to animals;Agree, and walk away, leaving them to wonder whether you are bluffing?;Dragon toad;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Being ignored;Glory?;Right;Gryffindor
River;Imitated?;Miss you, but smile;Barn owl;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The power of superhuman strength;Left;Slytherin
Stars;Imitated?;Screech owl;Werewolves;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The piano;Waking up to find that neither your friends nor your family have any idea who you are.;Black;Gryffindor
Forest;The Good;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Brown owl;Trusted?;Vampires;Black;Gryffindor
Stars;Goblins;The statue of an old wizard with a strangely twinkling eye;Boredom;White cat;Suggest drawing lots to decide which of you will fight?;Love?;White;Hufflepuff
Dusk;A crackling log fire;Brown owl;Tell them that you are worried about their mental health, and offer to call a doctor.;Envied?;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Goblins;Tails;Slytherin
Moon;Natterjack toad;Ghosts;Trusted?;Cowardly;Agree, and walk away, leaving them to wonder whether you are bluffing?;The statue of an old wizard with a strangely twinkling eye;Heads;Gryffindor
River;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Harlequin toad;The power to read minds;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Tails;Slytherin
Moon;The cobbled street lined with ancient buildings;Think with admiration of your achievements;Imitated?;Black cat;A crackling log fire;The power of invisibility;Heads;Ravenclaw
Dawn;Ordinary;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The fat red toadstools that appear to be talking to each other;Tell them that you are worried about their mental health, and offer to call a doctor.;The power to speak to animals;Common toad;Heads;Hufflepuff
Moon;Flying on a broomstick;The Great;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The violin;Dragon toad;Tails;Slytherin
Moon;Snowy owl;The Bold;Trusted?;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;The power to read minds;Draw your wand and try to discover the source of the noise?;Left;Ravenclaw
Forest;Harlequin toad;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The power to change your appearance at will;The sea;The Great;Black;Gryffindor
Stars;The power to speak to animals;Harlequin toad;Imitated?;Wisdom?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Agree, and ask whether they'd like a free sample of a jinx?;Heads;Hufflepuff
Forest;Wisdom?;Three toed tree toad;An eye at the keyhole of the dark, windowless room in which you are locked.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Transfiguration (turning one object into another object);Hunger;Left;Ravenclaw
Moon;Love?;Volunteer to fight?;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The bubbling pool, in the depths of which something luminous is swirling;Natterjack toad;Every area of magic I can;Right;Hufflepuff
River;Cold;Siamese cat;The power of invisibility;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;An eye at the keyhole of the dark, windowless room in which you are locked.;Cowardly;Black;Gryffindor
Forest;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Screech owl;Ask for more stories about your adventures;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The power to change your appearance at will;Left;Ravenclaw
Forest;Agree, and walk away, leaving them to wonder whether you are bluffing?;Harlequin toad;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Trolls;The sea;Ignorant;Tails;Slytherin
River;The power to change your appearance at will;White cat;Praised?;Ask for more stories about your adventures;Suggest that all three of you should fight (without telling the troll)?;The silver leafed tree bearing golden apples;Right;Gryffindor
Stars;Goblins;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Screech owl;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Praised?;Draw your wand and stand your ground?;White;Gryffindor
Forest;Trolls;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Selfish;Harlequin toad;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Being ignored;Right;Hufflepuff
Dusk;Tabby cat;Selfish;Cold;The trumpet;The power to change the past;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Heads;Hufflepuff
Dawn;The power of superhuman strength;Fresh parchment;Power?;Suggest that all three of you should fight (without telling the troll)?;Barn owl;Feared?;Left;Slytherin
Forest;Harlequin toad;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The piano;Vampires;Cowardly;Heads;Ravenclaw
Stars;An eye at the keyhole of the dark, windowless room in which you are locked.;The power to change the past;Liked?;The silver leafed tree bearing golden apples;The Great;Black cat;Heads;Hufflepuff
Dusk;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Secrets about the castle;Siamese cat;Hunger;Glory?;Left;Gryffindor
Forest;Fresh parchment;Common toad;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Feared?;The power to change the past;Selfish;Left;Ravenclaw
River;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Cold;Agree, and walk away, leaving them to wonder whether you are bluffing?;Tawny owl;Centaurs;Cowardly;White;Gryffindor
Moon;Agree, and walk away, leaving them to wonder whether you are bluffing?;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Dragon toad;The power to change your appearance at will;Glory?;The sea;White;Ravenclaw
Moon;The trumpet;Vampires;Tell them that you are worried about their mental health, and offer to call a doctor.;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Snowy owl;Think with admiration of your achievements;White;Ravenclaw
Dusk;Brown owl;Loneliness;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Trolls;Agree, and walk away, leaving them to wonder whether you are bluffing?;White;Hufflepuff
River;The violin;The Bold;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Screech owl;Vampires;Praised?;White;Slytherin
Dusk;The bubbling pool, in the depths of which something luminous is swirling;Ask for more stories about your adventures;Hexes and jinxes;Black cat;Imitated?;Tell them that you are worried about their mental health, and offer to call a doctor.;Tails;Slytherin
Stars;Glory?;Being ignored;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;The narrow, dark, lantern-lit alley;Dragon toad;Centaurs;White;Gryffindor
Moon;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Black cat;Fresh parchment;Merpeople;Trusted?;Ignorant;White;Ravenclaw
Moon;Volunteer to fight?;Power?;Hexes and jinxes;Being ignored;Three toed tree toad;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Right;Slytherin
River;Natterjack toad;Trolls;The Good;Envied?;The narrow, dark, lantern-lit alley;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Black;Slytherin
Moon;Ginger cat;Cold;Waking up to find that neither your friends nor your family have any idea who you are.;Power?;The power to read minds;Fresh parchment;Black;Slytherin
Stars;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Cowardly;Trolls;Dragon toad;The sea;Black;Gryffindor
Dawn;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Wisdom?;White cat;The power to read minds;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Left;Ravenclaw
Stars;Ignorant;The power of invisibility;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Loneliness;Tawny owl;Left;Hufflepuff
Forest;Imitated?;The statue of an old wizard with a strangely twinkling eye;Cowardly;The cobbled street lined with ancient buildings;The power to change your appearance at will;Dragon toad;Black;Gryffindor
Moon;The trumpet;The power to read minds;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Siamese cat;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Glory?;Heads;Ravenclaw
Dawn;Ghosts;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Siamese cat;Trusted?;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;The cobbled street lined with ancient buildings;Tails;Gryffindor
Moon;Common toad;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;The Wise;Draw your wand and stand your ground?;Merpeople;Trusted?;Heads;Hufflepuff
Stars;The trumpet;Ginger cat;Tell them that you are worried about their mental health, and offer to call a doctor.;Envied?;Flying on a broomstick;The Great;Black;Hufflepuff
Forest;The Wise;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Barn owl;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Werewolves;The trumpet;Right;Gryffindor
Dawn;Every area of magic I can;Feared?;The Great;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Ginger cat;White;Hufflepuff
River;Being ignored;Vampires;The bubbling pool, in the depths of which something luminous is swirling;Tabby cat;The Good;The twisting, leaf-strewn path through woods;Left;Slytherin
Dusk;White cat;Transfiguration (turning one object into another object);The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Tell them that you are worried about their mental health, and offer to call a doctor.;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Power?;Left;Slytherin
Dusk;Secrets about the castle;The fat red toadstools that appear to be talking to each other;Ordinary;Trusted?;Ginger cat;An eye at the keyhole of the dark, windowless room in which you are locked.;Heads;Hufflepuff
River;The power to change your appearance at will;Brown owl;Home;Imitated?;Ask for more stories about your adventures;Waking up to find that neither your friends nor your family have any idea who you are.;Heads;Hufflepuff
Forest;Wisdom?;Three toed tree toad;Tell them that you are worried about their mental health, and offer to call a doctor.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Feared?;Ghosts;Heads;Ravenclaw
Forest;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;All about magical creatures, and how to befriend/care for them;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Cowardly;Ginger cat;White;Gryffindor
Dusk;Suggest drawing lots to decide which of you will fight?;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Praised?;The Bold;Secrets about the castle;Black cat;Tails;Gryffindor
Dusk;Siamese cat;The statue of an old wizard with a strangely twinkling eye;Wisdom?;Agree, and walk away, leaving them to wonder whether you are bluffing?;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Flying on a broomstick;Heads;Gryffindor
Dawn;The Great;Being ignored;Suggest that all three of you should fight (without telling the troll)?;The power to read minds;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Tabby cat;Tails;Slytherin
Moon;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Goblins;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;The Great;Loneliness;White cat;Heads;Ravenclaw
Forest;Natterjack toad;Cowardly;Merpeople;The sea;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Agree, and walk away, leaving them to wonder whether you are bluffing?;Left;Slytherin
Stars;Glory?;Envied?;The power to change your appearance at will;Tell them that you are worried about their mental health, and offer to call a doctor.;Screech owl;The fat red toadstools that appear to be talking to each other;Right;Hufflepuff
Forest;Think with admiration of your achievements;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Siamese cat;The piano;Secrets about the castle;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;White;Ravenclaw
Dawn;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Werewolves;Cold;Dragon toad;The sea;The wide, sunny, grassy lane;Tails;Slytherin
Dusk;Apparition and Disapparition (being able to materialize and dematerialize at will);The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Boredom;Black cat;Ask for more stories about your adventures;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Black;Slytherin
Stars;Selfish;Apparition and Disapparition (being able to materialize and dematerialize at will);Loneliness;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Natterjack toad;Suggest drawing lots to decide which of you will fight?;Left;Hufflepuff
Dusk;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Three toed tree toad;Transfiguration (turning one object into another object);The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Praised?;Selfish;Heads;Ravenclaw
River;Fresh parchment;Envied?;Transfiguration (turning one object into another object);The Great;Brown owl;Draw your wand and stand your ground?;Right;Ravenclaw
Moon;Tawny owl;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Power?;Ghosts;The silver leafed tree bearing golden apples;Cold;Left;Ravenclaw
Dusk;The twisting, leaf-strewn path through woods;Secrets about the castle;Praised?;Black cat;The statue of an old wizard with a strangely twinkling eye;Miss you, but smile;Tails;Gryffindor
Forest;Cold;Suggest that all three of you should fight (without telling the troll)?;Three toed tree toad;Glory?;The power to change your appearance at will;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Heads;Gryffindor
Moon;The power to change your appearance at will;Being ignored;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Ginger cat;Black;Slytherin
Moon;The bubbling pool, in the depths of which something luminous is swirling;Tawny owl;The narrow, dark, lantern-lit alley;The power of invisibility;Trusted?;The Good;Tails;Slytherin
Forest;Cold;Ghosts;Common toad;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Ordinary;The cobbled street lined with ancient buildings;Left;Ravenclaw
Stars;Brown owl;Draw your wand and try to discover the source of the noise?;Loneliness;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Ask for more stories about your adventures;The power of superhuman strength;Right;Gryffindor
Stars;Snowy owl;Hunger;The Great;Werewolves;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The bubbling pool, in the depths of which something luminous is swirling;Heads;Hufflepuff
River;Every area of magic I can;Barn owl;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Boredom;Black;Slytherin
Moon;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Power?;Tabby cat;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The power of invisibility;The wide, sunny, grassy lane;Black;Gryffindor
Moon;Draw your wand and stand your ground?;Imitated?;Power?;The drum;Secrets about the castle;Natterjack toad;Tails;Slytherin
Dawn;An eye at the keyhole of the dark, windowless room in which you are locked.;Imitated?;Ignorant;The fat red toadstools that appear to be talking to each other;Harlequin toad;Transfiguration (turning one object into another object);Black;Ravenclaw
Dawn;Ask for more stories about your adventures;The fat red toadstools that appear to be talking to each other;Dragon toad;Imitated?;Ghosts;The narrow, dark, lantern-lit alley;Heads;Ravenclaw
Forest;Feared?;Brown owl;Flying on a broomstick;The sea;Agree, and walk away, leaving them to wonder whether you are bluffing?;The Great;Black;Gryffindor
Moon;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Ghosts;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;A crackling log fire;The Bold;Common toad;Black;Gryffindor
Dawn;Ghosts;Draw your wand and try to discover the source of the noise?;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;The Great;Praised?;Ginger cat;Heads;Gryffindor
Dusk;The bubbling pool, in the depths of which something luminous is swirling;Being ignored;White cat;Secrets about the castle;Glory?;Attempt to confuse the troll into letting all three of you pass without fighting?;Right;Slytherin
Forest;Siamese cat;The Bold;All about magical creatures, and how to befriend/care for them;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Praised?;Suggest that all three of you should fight (without telling the troll)?;Left;Gryffindor
Dawn;Siamese cat;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Boredom;The power to change the past;Glory?;The twisting, leaf-strewn path through woods;Right;Gryffindor
Dawn;Loneliness;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Hexes and jinxes;Ginger cat;Think with admiration of your achievements;Tails;Slytherin
Dawn;Hunger;Agree, and walk away, leaving them to wonder whether you are bluffing?;Black cat;Flying on a broomstick;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';The Bold;Black;Gryffindor
Dusk;The power to change the past;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Agree, and walk away, leaving them to wonder whether you are bluffing?;Imitated?;Tabby cat;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Left;Slytherin
Stars;The drum;Transfiguration (turning one object into another object);Agree, and walk away, leaving them to wonder whether you are bluffing?;Loneliness;Ginger cat;Ignorant;Right;Gryffindor
Stars;The Great;Suggest drawing lots to decide which of you will fight?;Boredom;A crackling log fire;Apparition and Disapparition (being able to materialize and dematerialize at will);Siamese cat;Black;Gryffindor
Dusk;Volunteer to fight?;Three toed tree toad;Wisdom?;Ghosts;The drum;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Heads;Gryffindor
Dusk;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Barn owl;Cowardly;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;An eye at the keyhole of the dark, windowless room in which you are locked.;The power to change your appearance at will;Tails;Gryffindor
Stars;Werewolves;Miss you, but smile;Black cat;The sea;Hunger;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Heads;Hufflepuff
Dawn;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Secrets about the castle;Miss you, but smile;Waking up to find that neither your friends nor your family have any idea who you are.;Common toad;Liked?;Heads;Hufflepuff
Dawn;Think with admiration of your achievements;Tawny owl;The statue of an old wizard with a strangely twinkling eye;Volunteer to fight?;Hexes and jinxes;Cold;Right;Gryffindor
River;The power to read minds;Love?;The statue of an old wizard with a strangely twinkling eye;Dragon toad;Draw your wand and try to discover the source of the noise?;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Left;Slytherin
Forest;Harlequin toad;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The power to change your appearance at will;The trumpet;Selfish;The wide, sunny, grassy lane;White;Hufflepuff
Forest;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Suggest drawing lots to decide which of you will fight?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Dragon toad;All about magical creatures, and how to befriend/care for them;Power?;White;Hufflepuff
Stars;Snowy owl;The power to read minds;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Imitated?;Power?;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Tails;Ravenclaw
Moon;Siamese cat;Praised?;Ordinary;Hexes and jinxes;The sea;Agree, and ask whether they'd like a free sample of a jinx?;Right;Slytherin
Dawn;Dragon toad;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The trumpet;Imitated?;Draw your wand and try to discover the source of the noise?;Werewolves;Right;Gryffindor
River;Apparition and Disapparition (being able to materialize and dematerialize at will);Glory?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Natterjack toad;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;The bubbling pool, in the depths of which something luminous is swirling;Left;Slytherin
Moon;Being ignored;The Bold;Three toed tree toad;A crackling log fire;The cobbled street lined with ancient buildings;The power to change the past;Black;Slytherin
Dawn;The violin;The narrow, dark, lantern-lit alley;Screech owl;Hexes and jinxes;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Power?;Left;Slytherin
Dawn;Suggest that all three of you should fight (without telling the troll)?;Tabby cat;Every area of magic I can;The drum;Envied?;Think with admiration of your achievements;Heads;Ravenclaw
Forest;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Ask what makes them think so?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The power to change the past;Black cat;Ignorant;Black;Slytherin
Dawn;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;The piano;Merpeople;Hunger;Natterjack toad;Glory?;White;Hufflepuff
Dawn;Miss you, but smile;The statue of an old wizard with a strangely twinkling eye;Trusted?;Tell them that you are worried about their mental health, and offer to call a doctor.;Flying on a broomstick;Tabby cat;Black;Gryffindor
Dawn;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The trumpet;Merpeople;Ignorant;Envied?;Barn owl;Tails;Ravenclaw
River;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;The power of invisibility;Cowardly;Loneliness;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Snowy owl;White;Hufflepuff
Stars;Imitated?;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Power?;Ginger cat;Goblins;The bubbling pool, in the depths of which something luminous is swirling;White;Ravenclaw
Dawn;Miss you, but smile;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Screech owl;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Draw your wand and try to discover the source of the noise?;The power to change the past;White;Ravenclaw
River;Apparition and Disapparition (being able to materialize and dematerialize at will);Suggest that all three of you should fight (without telling the troll)?;Hunger;Brown owl;Power?;A crackling log fire;Heads;Slytherin
Moon;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Snowy owl;Centaurs;Ask what makes them think so?;Trusted?;Ignorant;Right;Ravenclaw
River;The narrow, dark, lantern-lit alley;The piano;Hexes and jinxes;Think with admiration of your achievements;Boredom;Siamese cat;White;Slytherin
Moon;All about magical creatures, and how to befriend/care for them;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The drum;Dragon toad;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The Good;Tails;Slytherin
Stars;The Good;The power of invisibility;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The silver leafed tree bearing golden apples;Draw your wand and stand your ground?;Three toed tree toad;Heads;Hufflepuff
Forest;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Boredom;Brown owl;Power?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Trolls;Tails;Slytherin
Dawn;Liked?;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Common toad;The power of superhuman strength;Power?;A crackling log fire;Right;Hufflepuff
Stars;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Praised?;Centaurs;The statue of an old wizard with a strangely twinkling eye;Dragon toad;Ask for more stories about your adventures;Black;Gryffindor
Stars;The Bold;Three toed tree toad;The fat red toadstools that appear to be talking to each other;Transfiguration (turning one object into another object);You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Feared?;White;Hufflepuff
River;The power to read minds;Brown owl;The fat red toadstools that appear to be talking to each other;Think with admiration of your achievements;Imitated?;Volunteer to fight?;Left;Ravenclaw
Moon;All about magical creatures, and how to befriend/care for them;Cowardly;Barn owl;The drum;The cobbled street lined with ancient buildings;Hunger;White;Ravenclaw
Moon;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Wisdom?;White cat;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;The power of superhuman strength;White;Hufflepuff
